C:\Users\a_hus\OneDrive\Documents\02_personal\04_education\01_GT_MS\01_courses\2026\cs7643_deep_learning\03_project\.venv\Lib\site-packages\torch\nn\modules\transformer.py:531: UserWarning: The PyTorch API of nested tensors is in prototype stage and will change in the near future. We recommend specifying layout=torch.jagged when constructing a nested tensor, as this layout receives active development, has better operator coverage, and works with torch.compile. (Triggered internally at C:\actions-runner\_work\pytorch\pytorch\pytorch\aten\src\ATen\NestedTensorImpl.cpp:182.)
  output = torch._nested_tensor_from_mask(
device=cuda | cfg=QUICK | bs=6 L=512 epochs=20 k=3
gpu=NVIDIA GeForce RTX 5070 Laptop GPU | VRAM free 7.4/8.5 GB
discovered 773 wells in train
ep10 step44800: loss=0.4212 (reg=0.0078 align=1.378)
ep10 step45000: loss=0.2919 (reg=0.0049 align=0.957)
ep10 step45200: loss=0.4826 (reg=0.0021 align=1.602)
ep11 step45400: loss=0.3561 (reg=0.0033 align=1.176)
ep11 step45600: loss=0.2855 (reg=0.0081 align=0.924)
ep11 step45800: loss=0.4134 (reg=0.0102 align=1.344)
ep11 step46000: loss=0.5346 (reg=0.0052 align=1.764)
ep11 step46200: loss=0.3308 (reg=0.0086 align=1.074)
ep11 step46400: loss=0.3565 (reg=0.0055 align=1.170)
ep11 step46600: loss=0.5066 (reg=0.0034 align=1.677)
ep11 step46800: loss=0.3088 (reg=0.0032 align=1.018)
ep11 step47000: loss=0.5136 (reg=0.0098 align=1.679)
ep11 step47200: loss=0.2697 (reg=0.0051 align=0.882)
ep11 step47400: loss=0.4994 (reg=0.0172 align=1.607)
ep11 step47600: loss=0.3951 (reg=0.0105 align=1.282)
ep11 step47800: loss=0.4053 (reg=0.0057 align=1.332)
ep11 step48000: loss=0.4325 (reg=0.0038 align=1.429)
ep11 step48200: loss=0.3728 (reg=0.0047 align=1.227)
ep11 step48400: loss=0.4001 (reg=0.0063 align=1.313)
ep11 step48600: loss=0.3069 (reg=0.0056 align=1.004)
ep11 step48800: loss=0.3157 (reg=0.0046 align=1.037)
ep11 step49000: loss=0.3446 (reg=0.0044 align=1.134)
ep11 step49200: loss=0.3657 (reg=0.0024 align=1.211)
ep11 step49400: loss=0.4044 (reg=0.0070 align=1.324)
ep12 step49600: loss=0.5447 (reg=0.0092 align=1.785)
ep12 step49800: loss=0.3012 (reg=0.0039 align=0.991)
ep12 step50000: loss=0.2926 (reg=0.0064 align=0.954)
ep12 step50200: loss=0.3680 (reg=0.0036 align=1.215)
ep12 step50400: loss=0.4289 (reg=0.0059 align=1.410)
ep12 step50600: loss=0.3864 (reg=0.0045 align=1.273)
ep12 step50800: loss=0.1750 (reg=0.0032 align=0.572)
ep12 step51000: loss=0.3822 (reg=0.0096 align=1.242)
ep12 step51200: loss=0.4066 (reg=0.0019 align=1.349)
ep12 step51400: loss=0.3778 (reg=0.0025 align=1.251)
ep12 step51600: loss=0.3572 (reg=0.0044 align=1.176)
ep12 step51800: loss=0.1309 (reg=0.0054 align=0.418)
ep12 step52000: loss=0.5268 (reg=0.0174 align=1.698)
ep12 step52200: loss=0.3071 (reg=0.0040 align=1.010)
ep12 step52400: loss=0.3204 (reg=0.0041 align=1.055)
ep12 step52600: loss=0.4414 (reg=0.0058 align=1.452)
ep12 step52800: loss=0.4439 (reg=0.0037 align=1.467)
ep12 step53000: loss=0.3025 (reg=0.0052 align=0.991)
ep12 step53200: loss=0.2830 (reg=0.0079 align=0.917)
ep12 step53400: loss=0.3237 (reg=0.0016 align=1.074)
ep13 step53600: loss=0.4301 (reg=0.0061 align=1.413)
ep13 step53800: loss=0.4666 (reg=0.0093 align=1.524)
ep13 step54000: loss=0.3954 (reg=0.0050 align=1.301)
ep13 step54200: loss=0.2038 (reg=0.0092 align=0.649)
ep13 step54400: loss=0.4334 (reg=0.0070 align=1.421)
ep13 step54600: loss=0.3461 (reg=0.0119 align=1.114)
ep13 step54800: loss=0.3172 (reg=0.0071 align=1.034)
